,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2016-05-02,17,11,0,12,10,9
2016-05-03,11,13,0,8,7,7
2016-05-04,12,15,2,8,8,9
2016-05-05,23,14,0,12,14,16
2016-05-06,16,27,4,13,7,10
2016-05-07,24,32,3,15,23,14
2016-05-08,13,24,1,15,12,9
2016-05-09,10,26,2,8,5,3
2016-05-10,15,11,1,11,3,7
2016-05-11,11,12,0,14,4,13
2016-05-12,15,11,0,10,7,6
2016-05-13,12,20,3,12,12,10
2016-05-14,37,21,2,28,23,19
2016-05-15,9,17,1,7,10,6
2016-05-16,12,27,0,9,7,10
2016-05-17,27,11,5,11,10,10
2016-05-18,8,16,5,18,5,9
2016-05-19,5,23,3,14,11,7
2016-05-20,33,26,2,23,13,7
2016-05-21,20,25,4,17,17,12
2016-05-22,14,11,3,13,15,7
2016-05-23,18,15,2,7,4,3
2016-05-24,17,14,2,13,13,8
2016-05-25,10,15,2,9,9,3
2016-05-26,8,18,2,23,12,6
2016-05-27,20,24,4,23,23,11
2016-05-28,20,29,0,27,16,6
2016-05-29,29,30,6,31,19,6
2016-05-30,8,23,1,10,5,2
2016-05-31,18,22,4,21,6,4
2016-06-01,14,22,1,13,10,8
2016-06-02,16,12,0,14,8,4
2016-06-03,16,21,3,19,11,12
2016-06-04,33,23,2,31,7,5
2016-06-05,15,20,3,18,17,3
2016-06-06,11,16,1,8,5,3
2016-06-07,14,18,4,11,10,4
2016-06-08,7,17,0,5,6,2
2016-06-09,10,19,1,23,12,7
2016-06-10,9,27,3,15,10,7
2016-06-11,27,25,5,26,24,7
2016-06-12,14,21,6,25,7,0
2016-06-13,18,17,3,29,10,4
2016-06-14,10,15,0,13,5,1
2016-06-15,9,16,3,12,6,3
2016-06-16,11,19,2,12,9,2
2016-06-17,7,9,0,10,6,1
2016-06-18,15,21,3,23,15,3
2016-06-19,18,20,3,11,22,2
2016-06-20,2,14,3,15,11,5
2016-06-21,9,11,2,6,5,1
2016-06-22,5,12,1,17,14,0
2016-06-23,12,17,7,19,8,1
2016-06-24,0,0,0,1,0,0
2016-06-25,0,0,0,0,0,0
2016-06-26,0,0,0,1,0,0
2016-06-27,1,0,0,1,0,0
2016-06-28,2,4,1,0,0,0
2016-06-29,0,0,0,0,0,0
2016-06-30,0,1,0,0,0,0
2016-07-01,2,4,0,4,1,1
2016-07-02,4,4,0,8,8,0
2016-07-03,7,14,0,8,3,0
2016-07-04,3,4,0,2,6,1
2016-07-05,3,2,0,4,3,0
2016-07-06,8,8,0,6,6,0
2016-07-07,13,3,0,10,6,0
2016-07-08,9,3,1,0,5,0
2016-07-09,8,9,0,5,9,1
2016-07-10,10,4,0,4,3,0
2016-07-11,12,1,0,9,0,0
2016-07-12,11,5,0,5,4,4
2016-07-13,9,1,0,3,8,2
2016-07-14,9,1,2,8,6,0
2016-07-15,13,3,0,5,8,3
2016-07-16,18,8,1,7,6,0
2016-07-17,12,6,0,2,2,0
2016-07-18,6,1,1,2,0,0
2016-07-19,20,9,1,4,9,2
2016-07-20,8,7,0,8,10,1
2016-07-21,7,7,1,4,6,2
2016-07-22,7,3,0,6,6,0
2016-07-23,26,10,0,8,10,0
2016-07-24,18,8,1,12,6,3
2016-07-25,16,5,0,6,3,0
2016-07-26,9,4,2,2,3,0
2016-07-27,17,1,0,4,7,2
2016-07-28,14,9,0,6,4,0
2016-07-29,12,5,0,12,7,0
2016-07-30,15,7,0,10,15,5
2016-07-31,7,5,0,6,7,0
2016-08-01,9,9,0,7,6,9
2016-08-02,7,12,0,4,5,2
2016-08-03,12,11,2,4,8,4
2016-08-04,8,10,2,6,6,0
2016-08-05,14,8,0,5,9,5
2016-08-06,23,11,1,10,13,4
2016-08-07,12,13,0,6,12,1
2016-08-08,6,7,0,9,7,1
2016-08-09,5,5,1,5,6,5
2016-08-10,15,8,1,14,20,6
2016-08-11,10,10,0,4,3,5
2016-08-12,17,14,3,9,4,5
2016-08-13,22,13,1,8,9,10
2016-08-14,15,2,1,4,3,1
2016-08-15,2,0,2,1,4,1
2016-08-16,5,4,0,5,6,1
2016-08-17,7,3,1,6,3,4
2016-08-18,4,7,2,9,3,2
2016-08-19,9,8,1,1,4,4
2016-08-20,8,12,0,11,8,10
2016-08-21,11,3,1,9,2,1
2016-08-22,5,5,1,4,5,3
2016-08-23,5,10,0,9,9,3
2016-08-24,4,6,0,7,4,1
2016-08-25,16,5,3,9,5,2
2016-08-26,19,16,2,5,6,2
2016-08-27,21,24,0,23,8,5
2016-08-28,9,9,2,11,9,7
2016-08-29,8,3,1,4,3,4
2016-08-30,14,15,1,7,12,8
2016-08-31,17,9,1,13,18,11
2016-09-01,9,10,1,10,11,6
2016-09-02,12,9,1,7,17,10
2016-09-03,24,23,3,24,20,9
2016-09-04,19,6,4,11,9,6
2016-09-05,15,12,1,16,11,4
2016-09-06,6,8,0,9,8,1
2016-09-07,16,3,1,11,8,6
2016-09-08,18,9,1,8,8,7
2016-09-09,26,11,2,15,20,12
2016-09-10,24,27,2,17,22,10
2016-09-11,17,20,2,13,27,16
2016-09-12,4,11,1,5,8,6
2016-09-13,17,10,1,18,8,12
2016-09-14,25,15,2,19,9,8
2016-09-15,21,18,1,12,7,8
2016-09-16,39,23,2,15,17,20
2016-09-17,44,30,4,33,23,24
2016-09-18,23,25,2,27,27,24
2016-09-19,12,15,3,14,14,14
2016-09-20,18,17,1,12,11,11
2016-09-21,36,16,1,33,14,16
2016-09-22,17,21,1,11,14,13
2016-09-23,29,19,1,14,10,15
2016-09-24,36,31,2,35,16,35
2016-09-25,15,15,1,15,13,13
2016-09-26,24,6,0,11,4,4
2016-09-27,19,11,0,13,12,10
2016-09-28,23,7,2,25,7,9
2016-09-29,13,18,1,25,16,7
2016-09-30,14,5,5,14,11,13
2016-10-01,34,27,5,25,22,15
2016-10-02,25,13,2,24,14,13
2016-10-03,9,10,3,12,10,9
2016-10-04,22,8,2,10,7,12
2016-10-05,24,10,1,14,6,16
2016-10-06,16,10,1,10,16,7
2016-10-07,21,6,2,13,8,16
2016-10-08,50,9,5,29,19,17
2016-10-09,50,8,2,19,23,17
2016-10-10,19,6,1,15,12,12
2016-10-11,28,1,2,5,16,16
2016-10-12,38,10,1,14,13,13
2016-10-13,34,7,2,14,12,14
2016-10-14,30,10,2,12,10,13
2016-10-15,63,17,1,31,31,29
2016-10-16,65,11,6,33,20,22
2016-10-17,29,6,1,14,5,6
2016-10-18,27,2,3,17,10,13
2016-10-19,34,3,1,22,2,15
2016-10-20,27,9,4,12,6,5
2016-10-21,30,6,1,22,14,14
2016-10-22,59,15,4,34,21,20
2016-10-23,43,5,2,13,12,14
2016-10-24,25,0,1,10,9,8
2016-10-25,15,3,0,7,12,8
2016-10-26,23,4,3,21,2,11
2016-10-27,10,6,4,7,5,8
2016-10-28,24,6,4,15,10,8
2016-10-29,45,6,3,18,23,21
2016-10-30,29,9,2,14,15,15
2016-10-31,50,5,1,27,20,10
2016-11-01,13,6,4,16,14,11
2016-11-02,23,2,3,11,5,6
2016-11-03,24,5,2,10,15,7
2016-11-04,23,5,1,18,11,11
2016-11-05,52,3,6,25,27,16
2016-11-06,62,5,1,15,26,21
2016-11-07,26,3,4,5,11,3
2016-11-08,21,1,0,13,7,6
2016-11-09,25,8,2,16,7,7
2016-11-10,30,4,3,7,15,13
2016-11-11,53,6,0,29,17,18
2016-11-12,91,7,2,30,22,11
2016-11-13,30,5,3,17,17,18
2016-11-14,23,4,1,10,7,15
2016-11-15,28,1,0,11,8,10
2016-11-16,43,4,1,15,16,12
2016-11-17,37,8,3,14,9,12
2016-11-18,41,4,1,22,21,11
2016-11-19,81,8,3,27,30,25
2016-11-20,39,5,3,13,23,22
2016-11-21,20,0,1,8,4,3
2016-11-22,13,2,0,7,15,7
2016-11-23,20,3,2,7,12,4
2016-11-24,16,2,0,10,7,4
2016-11-25,91,11,5,20,41,36
2016-11-26,82,15,6,35,27,24
2016-11-27,61,10,5,20,20,19
2016-11-28,28,0,1,5,8,7
2016-11-29,35,4,0,9,8,7
2016-11-30,35,3,1,12,11,11
2016-12-01,34,3,2,8,11,7
2016-12-02,41,1,1,14,11,11
2016-12-03,60,6,2,14,19,14
2016-12-04,43,7,3,7,18,22
2016-12-05,23,5,0,6,8,5
2016-12-06,26,4,3,6,7,11
2016-12-07,42,3,2,7,16,9
2016-12-08,56,13,1,19,36,16
2016-12-09,45,5,2,10,26,16
2016-12-10,61,10,4,16,23,16
2016-12-11,70,6,2,15,19,19
2016-12-12,39,4,0,9,19,6
2016-12-13,52,6,3,7,21,15
2016-12-14,46,8,2,3,17,11
2016-12-15,52,8,4,15,18,12
2016-12-16,63,5,0,14,24,10
2016-12-17,80,15,6,14,36,11
2016-12-18,65,7,5,11,20,14
2016-12-19,76,10,1,20,28,9
2016-12-20,53,4,1,10,25,18
2016-12-21,48,7,2,11,22,7
2016-12-22,60,9,2,11,20,13
2016-12-23,81,11,3,13,24,23
2016-12-24,83,16,7,20,44,17
2016-12-25,0,0,0,0,0,0
2016-12-26,26,6,2,10,27,17
2016-12-27,28,4,0,7,20,5
2016-12-28,26,4,0,15,22,12
2016-12-29,7,3,0,1,4,1
2016-12-30,7,0,0,2,0,0
2016-12-31,3,2,0,0,1,1
