,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2016-01-01,0,0,0,0,0,0
2016-01-02,3,2,0,0,3,0
2016-01-03,1,0,0,1,4,0
2016-01-04,1,1,0,0,1,2
2016-01-05,3,2,0,2,8,0
2016-01-06,1,2,0,2,2,3
2016-01-07,0,0,1,1,0,0
2016-01-08,1,0,1,2,1,0
2016-01-09,5,2,1,1,6,2
2016-01-10,0,2,0,1,2,0
2016-01-11,0,2,0,2,2,0
2016-01-12,1,1,0,1,1,1
2016-01-13,8,0,2,4,4,1
2016-01-14,4,1,0,0,1,1
2016-01-15,6,2,0,2,4,2
2016-01-16,7,2,3,3,9,3
2016-01-17,2,2,0,1,4,2
2016-01-18,4,0,0,2,1,1
2016-01-19,5,2,0,1,2,0
2016-01-20,2,2,0,0,0,0
2016-01-21,4,0,0,2,1,0
2016-01-22,11,0,0,1,5,2
2016-01-23,8,4,2,4,3,1
2016-01-24,3,6,0,0,6,3
2016-01-25,4,2,0,2,8,1
2016-01-26,9,2,0,0,2,1
2016-01-27,3,0,0,1,0,1
2016-01-28,0,4,2,1,2,3
2016-01-29,6,3,0,0,1,3
2016-01-30,8,10,2,2,4,1
2016-01-31,4,1,0,3,2,1
2016-02-01,1,3,0,4,1,0
2016-02-02,0,1,0,0,0,0
2016-02-03,3,1,1,0,4,0
2016-02-04,0,2,1,1,1,0
2016-02-05,3,1,0,2,1,0
2016-02-06,7,6,0,2,0,8
2016-02-07,6,5,0,3,5,3
2016-02-08,4,3,0,0,5,2
2016-02-09,7,3,0,0,1,2
2016-02-10,8,2,0,1,5,4
2016-02-11,5,1,0,2,8,4
2016-02-12,3,1,0,2,6,3
2016-02-13,25,11,2,14,23,12
2016-02-14,6,5,1,3,7,7
2016-02-15,6,6,0,3,1,2
2016-02-16,6,1,1,5,2,3
2016-02-17,8,1,0,1,5,6
2016-02-18,1,5,2,6,4,4
2016-02-19,5,5,1,4,1,5
2016-02-20,15,12,0,8,16,9
2016-02-21,6,5,3,2,6,1
2016-02-22,2,1,1,0,4,6
2016-02-23,8,3,2,8,6,3
2016-02-24,5,3,0,4,1,3
2016-02-25,10,6,0,10,3,3
2016-02-26,10,6,1,5,10,10
2016-02-27,28,8,2,14,9,19
2016-02-28,9,7,0,9,10,8
2016-02-29,8,9,0,6,4,3
2016-03-01,2,7,2,4,3,9
2016-03-02,13,13,1,7,7,8
2016-03-03,6,9,1,5,6,8
2016-03-04,13,8,3,8,6,8
2016-03-05,29,21,2,14,6,18
2016-03-06,13,9,0,10,6,9
2016-03-07,3,9,1,3,2,2
2016-03-08,9,8,0,4,9,7
2016-03-09,17,7,2,7,3,4
2016-03-10,20,17,1,9,5,6
2016-03-11,11,9,1,4,4,12
2016-03-12,19,11,1,8,6,12
2016-03-13,20,15,6,15,15,16
2016-03-14,4,9,2,7,4,5
2016-03-15,13,8,3,9,7,10
2016-03-16,7,7,2,6,2,5
2016-03-17,10,10,1,2,5,13
2016-03-18,7,15,1,5,9,14
2016-03-19,14,20,3,17,11,20
2016-03-20,17,23,3,14,8,16
2016-03-21,7,7,0,2,4,2
2016-03-22,6,8,0,6,4,6
2016-03-23,16,18,2,13,13,14
2016-03-24,22,16,0,17,7,16
2016-03-25,25,27,1,11,12,17
2016-03-26,44,26,3,21,17,20
2016-03-27,0,0,0,0,0,0
2016-03-28,0,0,0,0,0,0
2016-03-29,16,20,1,6,5,9
2016-03-30,11,11,0,7,6,14
2016-03-31,12,10,1,5,13,15
2016-04-01,8,7,0,9,8,17
2016-04-02,24,25,2,15,9,16
2016-04-03,22,23,2,7,12,13
2016-04-04,10,10,1,4,11,11
2016-04-05,15,13,0,8,5,8
2016-04-06,22,18,0,10,10,10
2016-04-07,12,12,2,2,12,10
2016-04-08,23,16,1,11,16,16
2016-04-09,28,33,3,15,16,22
2016-04-10,7,31,2,12,11,15
2016-04-11,9,8,2,9,10,7
2016-04-12,6,14,0,8,9,10
2016-04-13,12,18,0,13,11,11
2016-04-14,10,10,1,6,8,3
2016-04-15,20,23,1,8,17,10
2016-04-16,16,32,1,14,31,20
2016-04-17,17,20,2,8,13,13
2016-04-18,10,13,4,11,6,7
2016-04-19,15,6,1,11,4,9
2016-04-20,16,17,1,13,7,13
2016-04-21,14,13,2,11,8,6
2016-04-22,20,19,2,16,6,11
2016-04-23,29,43,2,27,20,23
2016-04-24,31,36,2,17,16,26
2016-04-25,6,13,0,5,14,10
2016-04-26,13,8,1,8,7,2
2016-04-27,9,8,0,9,5,12
2016-04-28,16,13,0,6,8,9
2016-04-29,24,20,2,14,10,9
2016-04-30,18,29,0,18,25,18
2016-05-01,0,0,0,0,0,0
