,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2017-01-01,0,0,0,0,0,0
2017-01-02,0,0,1,0,0,0
2017-01-03,0,1,1,0,0,0
2017-01-04,2,2,0,1,0,0
2017-01-05,2,1,2,0,0,0
2017-01-06,4,0,2,1,1,0
2017-01-07,2,1,0,2,1,0
2017-01-08,1,0,2,1,1,0
2017-01-09,2,2,0,2,2,1
2017-01-10,1,0,0,0,0,0
2017-01-11,0,0,1,0,3,0
2017-01-12,1,1,2,1,2,0
2017-01-13,0,0,1,0,0,0
2017-01-14,4,1,0,2,5,1
2017-01-15,6,0,0,3,2,0
2017-01-16,3,0,1,3,3,0
2017-01-17,5,1,0,0,5,0
2017-01-18,0,1,0,1,0,0
2017-01-19,7,1,0,3,2,1
2017-01-20,4,4,0,2,0,0
2017-01-21,5,2,0,8,2,1
2017-01-22,2,1,1,8,3,0
2017-01-23,6,2,1,5,1,1
2017-01-24,8,2,1,7,1,0
2017-01-25,5,1,0,2,0,1
2017-01-26,6,1,0,3,2,0
2017-01-27,9,3,0,4,0,0
2017-01-28,3,3,1,6,5,1
2017-01-29,4,1,0,4,1,0
2017-01-30,4,1,0,3,1,0
2017-01-31,7,3,0,5,0,2
2017-02-01,8,0,2,2,0,2
2017-02-02,1,1,2,3,2,0
2017-02-03,12,4,1,8,1,2
2017-02-04,13,3,1,9,3,2
2017-02-05,16,2,1,8,1,1
2017-02-06,4,1,1,5,1,4
2017-02-07,8,5,1,6,2,1
2017-02-08,14,3,0,4,4,3
2017-02-09,10,3,0,6,4,1
2017-02-10,8,7,0,6,2,4
2017-02-11,19,12,1,13,5,7
2017-02-12,8,3,3,10,1,6
2017-02-13,7,8,1,7,7,2
2017-02-14,14,2,2,5,5,4
2017-02-15,8,12,1,6,12,2
2017-02-16,6,4,2,2,2,5
2017-02-17,8,9,4,4,2,3
2017-02-18,12,20,2,15,4,9
2017-02-19,8,5,2,8,2,5
2017-02-20,12,5,0,5,4,6
2017-02-21,8,7,2,11,4,3
2017-02-22,13,4,1,11,1,4
2017-02-23,12,4,2,10,0,3
2017-02-24,17,18,3,11,2,7
2017-02-25,16,20,1,14,7,16
2017-02-26,10,7,0,10,4,9
2017-02-27,7,8,1,6,4,6
2017-02-28,6,10,1,8,6,6
2017-03-01,6,12,2,10,5,11
2017-03-02,11,7,1,10,3,4
2017-03-03,8,10,3,13,4,5
2017-03-04,25,29,6,21,9,11
2017-03-05,16,15,2,18,2,10
2017-03-06,6,12,1,6,1,11
2017-03-07,22,11,3,16,5,13
2017-03-08,19,13,2,6,4,9
2017-03-09,8,5,1,7,6,7
2017-03-10,23,13,0,10,6,11
2017-03-11,21,32,3,26,13,23
2017-03-12,24,26,6,23,5,18
2017-03-13,16,8,2,6,4,7
2017-03-14,11,19,1,10,5,15
2017-03-15,12,11,4,7,5,13
2017-03-16,23,12,5,8,1,10
2017-03-17,42,17,2,25,14,16
2017-03-18,33,28,2,32,16,24
2017-03-19,21,19,0,19,9,9
2017-03-20,12,21,1,15,7,11
2017-03-21,14,19,2,12,6,6
2017-03-22,20,18,0,17,11,7
2017-03-23,25,20,2,17,4,7
2017-03-24,24,20,7,12,12,8
2017-03-25,40,39,5,15,9,23
2017-03-26,27,28,2,31,6,14
2017-03-27,18,12,3,11,8,10
2017-03-28,15,18,0,9,4,7
2017-03-29,12,11,2,9,5,7
2017-03-30,14,13,0,11,7,9
2017-03-31,18,17,4,15,12,9
2017-04-01,45,34,3,47,12,17
2017-04-02,33,24,0,18,19,14
2017-04-03,14,20,3,18,8,12
2017-04-04,12,11,1,15,10,9
2017-04-05,21,9,5,14,10,7
2017-04-06,24,20,4,11,12,14
2017-04-07,26,15,4,24,13,20
2017-04-08,30,29,4,18,27,17
2017-04-09,15,12,0,11,14,16
2017-04-10,23,15,4,19,11,16
2017-04-11,14,23,3,15,5,7
2017-04-12,22,17,3,21,11,20
2017-04-13,19,27,3,20,9,9
2017-04-14,44,36,3,27,25,24
2017-04-15,88,52,2,61,19,27
2017-04-16,0,0,0,0,0,0
2017-04-17,24,8,1,16,11,7
2017-04-18,25,22,0,21,9,5
2017-04-19,13,10,1,4,6,2
2017-04-20,15,16,1,11,5,5
2017-04-21,24,18,1,13,16,8
2017-04-22,30,30,3,33,15,22
2017-04-23,16,22,7,11,8,6
2017-04-24,27,18,0,11,5,2
2017-04-25,20,11,3,15,5,4
2017-04-26,20,13,3,19,7,8
2017-04-27,20,7,2,20,8,8
2017-04-28,27,16,1,14,18,6
2017-04-29,47,22,2,36,21,12
2017-04-30,24,29,0,22,10,7
2017-05-01,0,0,0,0,0,0
2017-05-02,28,15,0,24,10,10
2017-05-03,21,13,2,9,16,10
2017-05-04,26,16,0,25,6,13
2017-05-05,26,28,0,29,13,12
2017-05-06,39,25,3,33,15,16
2017-05-07,22,31,0,36,13,11
2017-05-08,19,15,2,26,7,8
2017-05-09,20,27,1,25,9,11
2017-05-10,17,23,0,21,6,7
2017-05-11,26,9,0,16,11,9
2017-05-12,13,22,3,20,11,13
2017-05-13,53,56,6,34,22,13
2017-05-14,13,21,0,14,11,8
2017-05-15,32,23,0,27,10,4
2017-05-16,35,25,1,32,10,9
2017-05-17,15,17,2,19,6,6
2017-05-18,25,22,2,18,10,4
2017-05-19,28,32,2,30,8,10
2017-05-20,67,48,1,47,20,9
2017-05-21,30,24,0,16,12,3
2017-05-22,25,19,2,19,7,3
2017-05-23,27,15,1,18,12,2
2017-05-24,21,30,2,29,14,3
2017-05-25,28,28,3,29,15,6
2017-05-26,24,29,3,31,19,6
2017-05-27,39,49,2,65,23,12
2017-05-28,30,13,3,24,19,4
2017-05-29,11,14,2,36,14,4
2017-05-30,20,18,1,28,8,2
2017-05-31,13,23,3,29,13,7
2017-06-01,20,24,4,44,15,6
2017-06-02,19,35,3,39,20,2
2017-06-03,40,47,6,64,28,6
2017-06-04,25,36,1,46,29,4
2017-06-05,16,17,1,30,12,2
2017-06-06,24,23,1,22,10,1
2017-06-07,10,21,1,32,19,3
2017-06-08,10,29,1,19,10,2
2017-06-09,26,26,4,34,11,5
2017-06-10,25,27,3,46,23,3
2017-06-11,17,28,8,33,26,2
2017-06-12,20,28,1,23,12,1
2017-06-13,8,27,1,32,15,2
2017-06-14,10,17,2,25,10,3
2017-06-15,10,37,3,26,12,3
2017-06-16,19,22,3,31,8,3
2017-06-17,20,41,7,41,25,2
2017-06-18,17,28,0,33,20,1
2017-06-19,8,17,1,14,13,2
2017-06-20,6,26,6,26,13,0
2017-06-21,13,11,2,23,10,1
2017-06-22,9,13,1,26,15,2
2017-06-23,1,2,1,4,2,0
2017-06-24,0,2,1,2,0,0
2017-06-25,0,1,0,2,1,0
2017-06-26,0,3,0,0,0,0
2017-06-27,0,0,0,0,0,1
2017-06-28,0,0,0,0,0,0
2017-06-29,0,0,0,0,0,0
2017-06-30,0,1,0,0,0,0
2017-07-01,4,4,0,9,4,0
2017-07-02,6,3,0,5,7,0
2017-07-03,4,1,0,5,3,1
2017-07-04,6,5,0,3,2,1
2017-07-05,1,4,0,0,8,1
2017-07-06,2,4,0,2,4,1
2017-07-07,2,6,0,5,1,1
2017-07-08,3,7,0,5,10,3
2017-07-09,2,2,0,3,10,0
2017-07-10,0,3,0,3,12,1
2017-07-11,10,5,0,6,14,0
2017-07-12,4,2,0,5,11,0
2017-07-13,1,7,0,5,11,1
2017-07-14,5,9,0,7,14,2
2017-07-15,14,9,0,10,15,1
2017-07-16,2,6,0,5,5,0
2017-07-17,12,9,0,6,5,0
2017-07-18,2,9,0,6,11,0
2017-07-19,3,9,0,4,8,0
2017-07-20,3,8,0,3,10,0
2017-07-21,3,6,0,6,2,0
2017-07-22,7,16,0,12,8,0
2017-07-23,3,11,0,4,8,0
2017-07-24,9,8,0,11,5,0
2017-07-25,5,13,0,11,10,1
2017-07-26,5,8,0,9,9,2
2017-07-27,8,11,0,2,10,1
2017-07-28,4,11,0,10,6,1
2017-07-29,3,19,0,10,19,3
2017-07-30,7,26,0,8,7,1
2017-07-31,10,8,0,7,6,1
2017-08-01,4,8,0,3,5,1
2017-08-02,9,12,0,10,6,1
2017-08-03,4,13,0,12,17,1
2017-08-04,1,5,0,3,2,1
2017-08-05,6,15,0,12,13,1
2017-08-06,2,11,0,10,12,3
2017-08-07,7,5,1,8,10,2
2017-08-08,5,10,0,7,7,0
2017-08-09,7,7,1,11,9,1
2017-08-10,4,14,0,10,12,0
2017-08-11,9,12,0,6,11,1
2017-08-12,8,8,1,6,6,1
2017-08-13,5,5,1,8,9,0
2017-08-14,4,15,1,0,13,2
2017-08-15,3,8,0,3,7,1
2017-08-16,7,8,0,5,12,1
2017-08-17,5,8,1,3,13,1
2017-08-18,4,16,0,6,5,2
2017-08-19,4,6,0,9,11,2
2017-08-20,5,3,0,6,5,1
2017-08-21,8,8,0,3,13,2
2017-08-22,7,10,2,10,7,5
2017-08-23,4,9,1,7,21,4
2017-08-24,10,13,0,5,4,3
2017-08-25,13,10,4,11,9,4
2017-08-26,7,18,1,8,15,1
2017-08-27,5,14,0,9,18,2
2017-08-28,4,5,0,7,10,1
2017-08-29,13,17,1,20,6,7
2017-08-30,11,17,0,18,9,9
2017-08-31,6,17,0,6,9,1
2017-09-01,14,20,3,20,20,16
2017-09-02,36,23,2,27,25,18
2017-09-03,16,24,2,13,13,13
2017-09-04,16,5,0,9,5,7
2017-09-05,7,8,1,6,13,11
2017-09-06,6,13,0,10,11,16
2017-09-07,16,14,2,17,8,17
2017-09-08,17,19,1,23,8,14
2017-09-09,23,24,2,21,18,14
2017-09-10,23,26,2,23,14,21
2017-09-11,15,19,0,20,22,7
2017-09-12,16,12,0,7,9,10
2017-09-13,15,13,1,12,13,17
2017-09-14,28,16,0,23,9,15
2017-09-15,35,15,4,15,10,22
2017-09-16,35,27,5,26,31,27
2017-09-17,20,19,3,24,17,16
2017-09-18,19,6,4,11,11,17
2017-09-19,17,12,0,21,9,11
2017-09-20,20,9,0,15,17,15
2017-09-21,19,9,2,13,12,12
2017-09-22,24,16,0,20,18,11
2017-09-23,35,27,5,29,39,26
2017-09-24,18,16,7,26,33,22
2017-09-25,9,9,0,10,8,16
2017-09-26,20,12,4,8,16,12
2017-09-27,18,8,3,14,8,9
2017-09-28,29,17,0,12,18,9
2017-09-29,19,12,2,13,13,9
2017-09-30,31,18,5,22,47,14
2017-10-01,21,12,5,17,29,11
2017-10-02,20,7,2,11,12,9
2017-10-03,8,4,1,10,15,6
2017-10-04,29,12,5,29,13,7
2017-10-05,31,10,2,21,13,8
2017-10-06,28,16,3,13,24,13
2017-10-07,39,15,2,32,31,27
2017-10-08,30,17,4,20,21,18
2017-10-09,17,7,1,12,4,7
2017-10-10,12,3,2,14,6,7
2017-10-11,22,12,1,17,16,7
2017-10-12,47,7,3,20,12,15
2017-10-13,19,5,6,14,29,12
2017-10-14,37,14,6,26,42,17
2017-10-15,34,10,5,13,21,14
2017-10-16,24,4,3,12,11,2
2017-10-17,18,7,5,10,12,4
2017-10-18,38,7,4,11,16,7
2017-10-19,21,4,4,12,22,16
2017-10-20,31,8,4,23,17,12
2017-10-21,49,12,5,25,30,10
2017-10-22,35,12,2,22,36,15
2017-10-23,17,3,1,15,16,11
2017-10-24,20,4,1,8,18,17
2017-10-25,17,9,3,14,14,9
2017-10-26,27,7,1,20,16,10
2017-10-27,44,4,1,27,18,7
2017-10-28,58,19,4,23,50,22
2017-10-29,39,4,0,15,27,23
2017-10-30,16,1,1,10,13,6
2017-10-31,17,9,1,16,20,9
2017-11-01,20,12,1,14,21,22
