,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2019-06-16,15,17,1,18,27,0
2019-06-17,10,10,2,13,11,2
2019-06-18,10,28,1,26,9,5
2019-06-19,17,25,2,31,14,3
2019-06-20,8,22,4,20,8,0
2019-06-21,9,22,3,21,16,0
2019-06-22,25,41,5,30,27,3
2019-06-23,8,32,5,25,16,3
2019-06-24,8,16,1,14,15,0
2019-06-25,5,18,2,16,14,0
2019-06-26,6,8,0,28,21,2
2019-06-27,0,0,0,0,0,0
2019-06-28,0,0,0,0,0,0
2019-06-29,0,0,0,0,0,0
2019-06-30,0,0,0,0,0,0
2019-07-01,8,2,0,5,4,4
2019-07-02,8,15,1,9,8,2
2019-07-03,0,4,0,5,8,1
2019-07-04,8,9,1,12,6,4
2019-07-05,3,9,2,9,5,1
2019-07-06,3,15,2,8,12,1
2019-07-07,10,23,3,9,13,1
2019-07-08,12,5,0,9,6,0
2019-07-09,5,5,0,7,7,2
2019-07-10,7,12,0,2,10,2
2019-07-11,5,9,0,9,6,7
2019-07-12,14,6,0,4,8,3
2019-07-13,8,15,0,13,14,10
2019-07-14,5,8,2,5,11,2
2019-07-15,5,6,3,4,14,2
2019-07-16,4,11,0,10,9,6
2019-07-17,3,6,2,5,14,2
2019-07-18,4,5,2,7,10,2
2019-07-19,11,14,1,10,7,4
2019-07-20,11,21,2,12,10,1
2019-07-21,4,7,0,6,22,0
2019-07-22,3,10,0,13,11,1
2019-07-23,6,10,0,8,9,0
2019-07-24,3,1,0,4,11,1
2019-07-25,2,10,0,3,11,0
2019-07-26,5,11,2,5,10,1
2019-07-27,8,16,4,10,23,4
2019-07-28,10,20,1,9,24,1
2019-07-29,10,15,0,8,13,3
2019-07-30,5,4,0,3,15,0
2019-07-31,4,10,0,7,11,4
2019-08-01,2,9,2,4,16,2
2019-08-02,8,14,2,7,13,1
2019-08-03,16,8,1,13,19,1
2019-08-04,3,7,2,6,12,3
2019-08-05,5,6,1,8,11,4
2019-08-06,5,7,0,6,8,4
2019-08-07,11,7,1,5,12,4
2019-08-08,4,12,1,6,14,2
